Metal_1,Metal_2,Metal_3,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Annealing Temp degree,Annealing Time min,Proton Concentration M,Catalyst_Loading mg cm -2,Overpotential mV @10 mA cm-2
Ru,,,100.0,0.0,0.0,25.0,1440.0,400.0,240.0,1.0,0.275,201
Ru,,,100.0,0.0,0.0,25.0,1440.0,500.0,240.0,1.0,0.275,230
Ru,,,100.0,0.0,0.0,25.0,1440.0,600.0,240.0,1.0,0.275,367
Ir,Fe,,58.72483221,41.27516779,0.0,150.0,720.0,400.0,360.0,0.1,0.1716,312
Fe,Ir,,58.43230404,41.56769596,0.0,150.0,720.0,400.0,360.0,0.1,0.1716,261
Ir,,,100.0,0.0,0.0,150.0,720.0,600.0,360.0,0.1,0.2,339
Co,S,,50.0,50.0,0.0,200.0,30.0,200.0,1440.0,1.0,0.85,570
Co,S,,50.0,50.0,0.0,200.0,30.0,200.0,1440.0,1.0,1.0,870
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,30.0,200.0,1440.0,1.0,0.85,540
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,1440.0,200.0,1440.0,1.0,1.0,380
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,60.0,200.0,1440.0,1.0,0.85,520
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,120.0,200.0,1440.0,1.0,0.85,510
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,180.0,200.0,1440.0,1.0,0.85,500
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,270.0,200.0,1440.0,1.0,0.85,490
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,360.0,200.0,1440.0,1.0,0.85,450
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,720.0,200.0,1440.0,1.0,0.85,410
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,1440.0,200.0,1440.0,1.0,0.85,370
Co,S,Mo,49.80718298,49.80718298,0.38563404,200.0,2880.0,200.0,1440.0,1.0,0.85,480
Co,S,Mo,49.90340524,49.90340524,0.193189522,200.0,1440.0,200.0,1440.0,1.0,0.85,513
Co,S,Mo,49.61584738,49.61584738,0.768305233,200.0,1440.0,200.0,1440.0,1.0,0.85,563
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,1.0,0.05,333
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,550.0,30.0,1.0,0.05,225
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,750.0,30.0,1.0,0.05,266
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,1.0,0.05,281
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,0.1,0.05,448
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,550.0,30.0,0.1,0.05,239
Ir,Ru,Co,43.66294726,42.45777869,13.87927405,180.0,30.0,750.0,30.0,0.1,0.05,290
Ir,Ru,,50.69969717,49.30030283,0.0,180.0,30.0,550.0,30.0,0.1,0.05,319
Ru,,,97.9,2.1,0.0,180.0,180.0,25.0,0.0,1.0,0.1632648,234
Ir,,,99.1,0.9,0.0,180.0,180.0,25.0,0.0,1.0,0.1632648,312
Pt,,,97.4,2.6,0.0,180.0,180.0,25.0,0.0,1.0,0.1632648,545
Rh,,,97.5,2.5,0.0,180.0,180.0,25.0,0.0,1.0,0.1632648,320
Ru,,,97.9,2.1,0.0,180.0,180.0,25.0,0.0,0.1,0.1632648,260
Ir,,,99.1,0.9,0.0,180.0,180.0,25.0,0.0,0.1,0.1632648,341
Pt,,,97.4,2.6,0.0,180.0,180.0,25.0,0.0,0.1,0.1632648,472
Rh,,,97.5,2.5,0.0,180.0,180.0,25.0,0.0,0.1,0.1632648,484
Ru,,,97.9,2.1,0.0,180.0,180.0,25.0,0.0,1.0,0.1632648,234
Ir,,,100.0,0.0,0.0,80.0,2880.0,250.0,30.0,0.1,0.05,286
Ir,,,100.0,0.0,0.0,80.0,2880.0,250.0,30.0,0.1,0.05,299
Ir,,,100.0,0.0,0.0,80.0,2880.0,250.0,30.0,0.1,0.05,315
Ir,La,Ba,33.33333333,33.33333333,33.33333333,25.0,0.0,1200.0,240.0,0.1,1.0,302
Ba,Ir,La,50.0,25.0,25.0,25.0,0.0,1200.0,240.0,0.1,1.0,312
Ir,La,Ba,40.0,40.0,20.0,25.0,0.0,1200.0,240.0,0.1,1.0,343
Ir,La,Ba,33.33333333,33.33333333,33.33333333,25.0,0.0,1000.0,240.0,0.1,1.0,317
Ir,La,Ba,33.33333333,33.33333333,33.33333333,25.0,0.0,1400.0,240.0,0.1,1.0,310
Os,Ir,,75.0,25.0,0.0,220.0,120.0,1100.0,10.0,0.1,0.0,303
Os,Ir,,50.0,50.0,0.0,220.0,120.0,1100.0,10.0,0.1,0.0,345
Os,Ir,,17.0,83.0,0.0,220.0,120.0,1100.0,10.0,0.1,0.0,363
Or,Ir,,91.0,9.0,0.0,220.0,120.0,1100.0,10.0,0.1,0.0,361
Ir,Os,,75.0,25.0,0.0,220.0,120.0,1100.0,10.0,0.1,0.0,369
W,Ru,,87.5,12.5,0.0,60.0,120.0,780.0,600.0,1.0,0.001446309,347
W,Ru,,87.5,12.5,0.0,60.0,120.0,780.0,600.0,1.0,0.002121957,339
W,Ru,,87.5,12.5,0.0,60.0,120.0,780.0,600.0,1.0,0.00302634,335
W,Ru,,87.5,12.5,0.0,60.0,120.0,780.0,600.0,1.0,0.004986423,324
Ir,Bi,,50.0,50.0,0.0,240.0,7200.0,25.0,0.0,2.0,0.402,318
Ru,,,100.0,0.0,0.0,25.0,0.0,350.0,3.0,1.0,0.03125,235
Ru,,,100.0,0.0,0.0,25.0,0.0,350.0,3.0,1.0,0.0615,222
Ru,,,100.0,0.0,0.0,25.0,0.0,350.0,3.0,1.0,0.125,210
Ru,,,100.0,0.0,0.0,25.0,0.0,350.0,3.0,1.0,0.25,199
Ru,,,100.0,0.0,0.0,25.0,0.0,350.0,3.0,1.0,0.375,190
Ru,,,100.0,0.0,0.0,25.0,0.0,350.0,180.0,1.0,0.125,221
Ir,,,100.0,0.0,0.0,90.0,600.0,25.0,0.0,0.1,0.0051,328
Ir,B,,55.35091791,44.64908209,0.0,90.0,600.0,25.0,0.0,0.1,0.0051,292
Ir,B,,55.35091791,44.64908209,0.0,90.0,600.0,25.0,0.0,0.1,0.0102,276
Ir,B,,55.35091791,44.64908209,0.0,90.0,600.0,25.0,0.0,0.1,0.051,256
Ru,,,100.0,0.0,0.0,90.0,600.0,25.0,0.0,0.1,0.0051,240
Ru,B,,55.35091791,44.64908209,0.0,90.0,600.0,25.0,0.0,0.1,0.0051,229
Li,Ir,,99.40694719,0.59305281,0.0,90.0,480.0,400.0,120.0,1.0,0.125,295
Na,Ir,,99.18286841,0.817131586,0.0,90.0,480.0,400.0,120.0,1.0,0.125,312
K,Ir,,98.95979758,1.040202418,0.0,90.0,480.0,400.0,120.0,1.0,0.125,377
Li,Ir,,99.40694719,0.59305281,0.0,90.0,480.0,400.0,120.0,1.0,0.025,338
Li,Ir,,99.40694719,0.59305281,0.0,90.0,480.0,400.0,120.0,1.0,0.05,312
Li,Ir,,99.40694719,0.59305281,0.0,90.0,480.0,400.0,120.0,1.0,0.25,273
Li,Ir,,99.40694719,0.59305281,0.0,90.0,480.0,400.0,120.0,1.0,0.5,266
Ir,,,100.0,0.0,0.0,160.0,720.0,25.0,0.0,0.1,0.02140127,290
Ir,Ce,,85.0,15.0,0.0,25.0,1440.0,500.0,60.0,1.0,0.024,270
Ir,Ce,,80.0,20.0,0.0,25.0,1440.0,500.0,60.0,1.0,0.024,224
Ir,Ce,,75.0,25.0,0.0,25.0,1440.0,500.0,60.0,1.0,0.024,238
Ru,Mn,,50.0,50.0,0.0,25.0,480.0,800.0,420.0,1.0,0.2,239
Ir,Pt,,90.0,10.0,0.0,25.0,720.0,550.0,120.0,1.0,0.1,379
Ir,Pt,,70.0,30.0,0.0,25.0,720.0,550.0,120.0,1.0,0.1,427
Ir,Pt,,50.0,50.0,0.0,25.0,720.0,550.0,120.0,1.0,0.1,446
Pt,Ir,,70.0,30.0,0.0,25.0,720.0,550.0,120.0,1.0,0.1,444
Pt,Ir,,90.0,10.0,0.0,25.0,720.0,550.0,120.0,1.0,0.1,393
Ir,,,100.0,0.0,0.0,25.0,720.0,550.0,120.0,1.0,0.1,403
Ru,Ir,,51.5780545,48.4219455,0.0,198.0,90.0,25.0,0.0,0.1,0.050955,284
Ir,Ru,,50.65544242,49.34455758,0.0,198.0,180.0,25.0,0.0,0.1,0.050955,342
Cr,Ru,,60.0,40.0,0.0,25.0,1080.0,450.0,240.0,1.0,0.283085,178
Cr,Ru,,60.0,40.0,0.0,25.0,1080.0,500.0,240.0,1.0,0.283085,176
Cr,Ru,,60.0,40.0,0.0,25.0,1080.0,550.0,240.0,1.0,0.283085,181
Cr,Ru,,60.0,40.0,0.0,25.0,1080.0,600.0,240.0,1.0,0.283085,187
Cr,Ru,,60.0,40.0,0.0,25.0,1080.0,650.0,240.0,1.0,0.283085,204
Cu,Ir,Co,88.8294914,8.029784533,3.140724068,270.0,30.0,25.0,0.0,0.1,0.096153846,304
Cu,Ir,Co,84.13099062,8.316396774,7.552612601,270.0,30.0,25.0,0.0,0.1,0.093023256,293
Fe,Co,,80.0,20.0,0.0,25.0,0.0,450.0,30.0,1.0,1.0,710
Fe,Co,,60.0,40.0,0.0,25.0,0.0,450.0,30.0,1.0,1.0,653
Co,Fe,,80.0,20.0,0.0,25.0,0.0,450.0,30.0,1.0,1.0,587
Ir,,,100.0,0.0,0.0,280.0,120.0,25.0,0.0,1.0,5.0,316
Ir,Fe,,75.0,25.0,0.0,280.0,120.0,25.0,0.0,1.0,5.0,287
Ir,Fe,,50.0,50.0,0.0,280.0,120.0,25.0,0.0,1.0,5.0,279
Fe,Ir,,75.0,25.0,0.0,280.0,120.0,25.0,0.0,1.0,5.0,296
Ir,,,100.0,0.0,0.0,300.0,120.0,25.0,0.0,0.5,0.092,336
Ir,Ni,,50.0,50.0,0.0,300.0,120.0,25.0,0.0,0.5,0.111224167,319
Ir,Ni,Fe,40.0,40.0,20.0,300.0,120.0,25.0,0.0,0.5,0.125742917,304
Ir,Ni,Fe,33.33333333,33.33333333,33.33333333,300.0,120.0,25.0,0.0,0.5,0.130117708,286
Fe,Ir,Ni,50.0,25.0,25.0,300.0,120.0,25.0,0.0,0.5,0.147669583,300
Ru,Mn,,82.9927883,17.0072117,0.0,230.0,180.0,25.0,0.0,1.0,0.10191,235
Ru,Mn,,82.9927883,17.0072117,0.0,230.0,180.0,25.0,0.0,1.0,0.10191,201
Ru,Mn,,82.9927883,17.0072117,0.0,230.0,180.0,25.0,0.0,1.0,0.10191,224
Ru,,,100.0,0.0,0.0,-77.0,2.0,250.0,0.0,6.0,0.75,297
Ru,,,100.0,0.0,0.0,-77.0,2.0,300.0,0.0,6.0,0.75,313
Ru,,,100.0,0.0,0.0,-77.0,2.0,300.0,0.0,6.0,0.43,282
Ru,,,100.0,0.0,0.0,-77.0,2.0,300.0,0.0,6.0,0.74,270
Ru,,,100.0,0.0,0.0,-77.0,2.0,350.0,0.0,6.0,0.72,273
Mn,,,100.0,0.0,0.0,160.0,720.0,25.0,0.0,1.0,0.3,901
Mn,Nb,,90.0,10.0,0.0,25.0,60.0,400.0,240.0,1.0,0.3,868
Mn,Nb,,80.0,20.0,0.0,25.0,60.0,400.0,240.0,1.0,0.3,767
Ru,,,100.0,0.0,0.0,180.0,180.0,25.0,0.0,0.1,0.12,224
Ru,,,100.0,0.0,0.0,180.0,780.0,25.0,0.0,0.1,0.12,236
Ru,,,100.0,0.0,0.0,180.0,180.0,25.0,0.0,0.1,0.12,269
Ir,,,100.0,0.0,0.0,150.0,240.0,25.0,0.0,1.0,0.14,314
Ir,,,100.0,0.0,0.0,150.0,240.0,25.0,0.0,1.0,0.14,305
Ir,,,100.0,0.0,0.0,150.0,240.0,25.0,0.0,1.0,0.14,283
Mn,Ir,Ce,74.45754127,21.22392134,4.318537394,150.0,720.0,400.0,300.0,0.1,0.081241565,325
Mn,Ir,Ce,71.37517754,20.34530187,8.279520595,150.0,720.0,400.0,300.0,0.1,0.075942783,311
Mn,Ir,Ce,68.53787385,19.5365361,11.92559005,150.0,720.0,400.0,300.0,0.1,0.070712401,296
Mn,Ir,Ce,65.91752267,18.78961207,15.29286526,150.0,720.0,400.0,300.0,0.1,0.065425532,273
Y,Ir,,54.54545455,45.45454545,0.0,80.0,420.0,550.0,120.0,1.0,0.026315789,417
Y,Ir,,54.54545455,45.45454545,0.0,80.0,420.0,550.0,120.0,0.1,0.026315789,354
Co,,,100.0,0.0,0.0,25.0,0.0,600.0,180.0,0.1,0.254777,485
Co,Ru,,94.60817912,5.391820882,0.0,25.0,0.0,600.0,180.0,0.1,0.254777,390
Co,Ru,,87.25701944,12.74298056,0.0,25.0,0.0,600.0,180.0,0.1,0.254777,323
Co,Ru,,79.97737557,20.02262443,0.0,25.0,0.0,600.0,180.0,0.1,0.254777,340
Co,Ru,,71.97149644,28.02850356,0.0,25.0,0.0,600.0,180.0,0.1,0.254777,408
Co,Ru,,87.25701944,12.74298056,0.0,25.0,0.0,150.0,180.0,0.1,0.254777,320
Co,Ru,,87.25701944,12.74298056,0.0,25.0,0.0,300.0,180.0,0.1,0.254777,297
Co,Ru,,87.25701944,12.74298056,0.0,25.0,0.0,400.0,180.0,0.1,0.254777,351
Co,Ru,,87.25701944,12.74298056,0.0,25.0,0.0,500.0,180.0,0.1,0.254777,376
Mn,Ir,,98.24196974,1.758030259,0.0,25.0,2880.0,220.0,360.0,1.0,4.0,288
Mn,Ir,,96.56070815,3.439291852,0.0,25.0,2880.0,220.0,360.0,1.0,4.0,273
Mn,Ir,,92.87606458,7.123935422,0.0,25.0,2880.0,220.0,360.0,1.0,4.0,253
Mn,Ir,,84.12074528,15.87925472,0.0,25.0,2880.0,220.0,360.0,1.0,4.0,222
Mn,Ir,,68.10205724,31.89794276,0.0,25.0,2880.0,220.0,360.0,1.0,4.0,242
Mn,Ir,,59.14283212,40.85716788,0.0,25.0,2880.0,220.0,360.0,1.0,4.0,252
Mn,Ir,,55.31858765,44.68141235,0.0,25.0,2880.0,220.0,360.0,1.0,4.0,263
Cu,Rh,,59.20792079,40.79207921,0.0,180.0,240.0,200.0,240.0,1.0,0.1528662,391
Rh,Cu,,66.3,33.7,0.0,180.0,240.0,200.0,240.0,1.0,0.1528662,375
Rh,Cu,,76.26,23.74,0.0,180.0,240.0,200.0,240.0,1.0,0.1528662,340
Ir,,,100.0,0.0,0.0,150.0,240.0,250.0,0.0,1.0,0.14,299
Ir,,,100.0,0.0,0.0,25.0,0.0,800.0,60.0,0.1,0.02502,264
Ir,Sb,,50.0,50.0,0.0,80.0,5.0,550.0,5.0,1.0,2.0,420
Sb,Ir,Co,50.0,35.0,15.0,80.0,5.0,550.0,5.0,1.0,2.0,433
Sb,Ir,Co,50.0,25.0,25.0,80.0,5.0,550.0,5.0,1.0,2.0,410
Sb,Co,Ir,50.0,35.0,15.0,80.0,5.0,550.0,5.0,1.0,2.0,417
Ru,Ir,,66.66666667,33.33333333,0.0,80.0,600.0,600.0,120.0,1.0,0.35,251
Ru,Ir,,50.0,50.0,0.0,80.0,600.0,600.0,120.0,1.0,0.35,241
Ir,Ru,,66.66666667,33.33333333,0.0,80.0,600.0,600.0,120.0,1.0,0.35,260
Ir,,,100.0,0.0,0.0,80.0,600.0,600.0,120.0,1.0,0.35,317
S,Ni,Fe,98.70317008,0.775682289,0.521147635,25.0,120.0,1000.0,120.0,1.0,0.4,547
Sr,Ir,,80.0,20.0,0.0,25.0,0.0,1200.0,30.0,0.1,0.266666667,287
Sr,Ir,,66.66666667,33.33333333,0.0,25.0,0.0,1200.0,30.0,0.1,0.18,286
Sr,Ir,,50.0,50.0,0.0,25.0,0.0,900.0,720.0,0.1,0.136666667,353
Ir,,,100.0,0.0,0.0,25.0,0.0,900.0,720.0,0.1,0.093333333,396
Sr,Ir,,80.0,20.0,0.0,25.0,0.0,1200.0,30.0,1.0,0.266666667,342
Sr,Ir,,66.66666667,33.33333333,0.0,25.0,0.0,1200.0,30.0,1.0,0.18,291
Sr,Ir,,50.0,50.0,0.0,25.0,0.0,900.0,720.0,1.0,0.136666667,378
Ir,,,100.0,0.0,0.0,25.0,0.0,900.0,720.0,1.0,0.093333333,442
Ru,Pd,,88.49557522,11.50442478,0.0,135.0,1200.0,25.0,0.0,0.1,0.407643312,225
Ir,Mn,,90.0,10.0,0.0,220.0,720.0,400.0,720.0,0.1,0.2,318
Ir,Mn,,80.0,20.0,0.0,220.0,720.0,400.0,720.0,0.1,0.2,309
Ir,Mn,,70.0,30.0,0.0,220.0,720.0,400.0,720.0,0.1,0.2,323
Ir,Mn,,60.0,40.0,0.0,220.0,720.0,400.0,720.0,0.1,0.2,302
Mn,Ir,,60.0,40.0,0.0,220.0,720.0,400.0,720.0,0.1,0.2,286
Mn,Ir,,70.0,30.0,0.0,220.0,720.0,400.0,720.0,0.1,0.2,292
Mn,Ir,,87.58484782,12.41515218,0.0,200.0,480.0,200.0,480.0,0.1,0.2,340
Ir,,,100.0,0.0,0.0,200.0,120.0,25.0,0.0,1.0,0.05,264
Ir,,,100.0,0.0,0.0,25.0,240.0,25.0,0.0,1.0,0.05,288
Ti,Ir,,83.14321322,16.85678678,0.0,80.0,360.0,400.0,60.0,1.0,0.035258784,236
Ir,Ru,,50.0,50.0,0.0,80.0,60.0,450.0,60.0,1.0,0.379,312
Ir,Ru,,66.66666667,33.33333333,0.0,80.0,60.0,450.0,60.0,1.0,0.379,299
Ir,Ru,,75.0,25.0,0.0,80.0,60.0,450.0,60.0,1.0,0.379,281
Ir,Ru,,80.0,20.0,0.0,80.0,60.0,450.0,60.0,1.0,0.379,301
Ir,,,100.0,0.0,0.0,25.0,10.0,450.0,60.0,1.0,0.379,317
Ir,Ru,,75.0,25.0,0.0,25.0,10.0,450.0,60.0,1.0,0.379,293
Ir,Ru,,75.0,25.0,0.0,80.0,60.0,450.0,60.0,1.0,0.279,291
Ir,Ru,,75.0,25.0,0.0,80.0,60.0,450.0,60.0,1.0,0.179,304
Ir,Ru,,75.0,25.0,0.0,80.0,60.0,450.0,60.0,1.0,0.1,316
Ir,Ru,,75.0,25.0,0.0,80.0,60.0,450.0,60.0,1.0,0.079,324
Ru,,,100.0,0.0,0.0,190.0,720.0,300.0,120.0,1.0,0.0135,431
Ru,Cu,,50.0,50.0,0.0,190.0,720.0,300.0,120.0,1.0,0.0135,270
Ru,Au,,66.66666667,33.33333333,0.0,140.0,1200.0,25.0,0.0,0.1,0.4076433,220
Ru,W,,90.0,10.0,0.0,80.0,720.0,400.0,120.0,1.0,0.33,224
Ru,W,,80.0,20.0,0.0,80.0,720.0,400.0,120.0,1.0,0.33,213
Ru,W,,70.0,30.0,0.0,80.0,720.0,400.0,120.0,1.0,0.33,213
Ru,Er,,90.0,10.0,0.0,80.0,720.0,400.0,120.0,1.0,0.33,193
Ru,W,Er,70.0,20.0,10.0,80.0,720.0,400.0,120.0,1.0,0.33,168
Ru,W,Er,60.0,20.0,20.0,80.0,720.0,400.0,120.0,1.0,0.33,174
Ru,,,100.0,0.0,0.0,25.0,30.0,300.0,120.0,1.0,0.0028,267
Ir,Ni,,72.53445334,27.46554666,0.0,200.0,300.0,25.0,0.0,1.0,0.188461538,329
Ir,Ni,,72.53445334,27.46554666,0.0,190.0,300.0,25.0,0.0,1.0,0.188461538,318
Ir,Ni,,72.53445334,27.46554666,0.0,180.0,300.0,25.0,0.0,1.0,0.188461538,315
Ru,,,100.0,0.0,0.0,160.0,30.0,25.0,0.0,0.1,0.0246,223
Ru,Pt,,90.0,10.0,0.0,160.0,30.0,25.0,0.0,0.1,0.0246,208
Ru,Pt,,90.0,10.0,0.0,160.0,30.0,400.0,120.0,0.1,0.0246,248
Ti,Ir,,98.32884097,1.67115903,0.0,160.0,180.0,25.0,0.0,1.0,0.01895,429
Ti,Ir,,94.60869565,5.391304348,0.0,160.0,180.0,25.0,0.0,1.0,0.05685,324
Ti,Ir,,87.84313725,12.15686275,0.0,160.0,180.0,25.0,0.0,1.0,0.1137,293
Ti,Ir,,82.28571429,17.71428571,0.0,160.0,180.0,25.0,0.0,1.0,0.1516,284
Ti,Ir,,75.59055118,24.40944882,0.0,160.0,180.0,25.0,0.0,1.0,0.1895,274
Ti,Ir,,67.36842105,32.63157895,0.0,160.0,180.0,25.0,0.0,1.0,0.2274,265
Ti,Ir,,57.02970297,42.97029703,0.0,160.0,180.0,25.0,0.0,1.0,0.2653,270
Ti,Ir,,67.36842105,32.63157895,0.0,160.0,180.0,25.0,0.0,1.0,0.1674,275
Ti,Ir,,67.36842105,32.63157895,0.0,160.0,180.0,25.0,0.0,1.0,0.1074,285
Ti,Ir,,67.36842105,32.63157895,0.0,160.0,180.0,25.0,0.0,1.0,0.0474,294
Ba,Ir,Pr,50.0,37.5,12.5,25.0,0.0,1150.0,1440.0,0.1,0.562,278
Ba,Ir,Bi,50.0,37.5,12.5,25.0,0.0,900.0,1440.0,0.1,0.562,297
Ba,Ir,Nb,50.0,37.5,12.5,25.0,0.0,1150.0,1440.0,0.1,0.562,334
Ru,Ir,,92.0,8.0,0.0,220.0,180.0,25.0,0.0,1.0,0.05,165
Ru,Ir,,92.0,8.0,0.0,230.0,180.0,25.0,0.0,1.0,0.05,242
Ru,Ir,,92.0,8.0,0.0,220.0,180.0,25.0,0.0,0.1,0.05,170
Ru,Ir,,92.0,8.0,0.0,230.0,180.0,25.0,0.0,0.1,0.05,181
Ru,Ir,,92.0,8.0,0.0,230.0,180.0,500.0,5.0,1.0,0.05,284
Sr,Ir,,88.86129964,11.13870036,0.0,150.0,720.0,700.0,360.0,1.0,0.9,248
Ir,,,100.0,0.0,0.0,80.0,300.0,150.0,60.0,1.0,0.0091,250
Ir,,,100.0,0.0,0.0,80.0,300.0,400.0,60.0,1.0,0.0091,290
Ru,,,100.0,0.0,0.0,90.0,180.0,400.0,60.0,1.0,0.18,310
Ru,Ir,,80.0,20.0,0.0,90.0,180.0,400.0,60.0,1.0,0.18,362
Ir,Ru,,80.0,20.0,0.0,90.0,180.0,400.0,60.0,1.0,0.18,399
Sn,Ir,Sb,76.94549085,16.33986928,6.714639868,160.0,30.0,250.0,120.0,0.1,0.0102,435
Ir,,,100.0,0.0,0.0,160.0,30.0,250.0,120.0,0.1,0.0102,454
Ir,,,100.0,0.0,0.0,60.0,30.0,400.0,5.0,1.0,0.042,236
Ir,Pr,,50.0,50.0,0.0,100.0,0.0,900.0,1440.0,0.1,0.057,298
Ir,Nd,,50.0,50.0,0.0,100.0,0.0,900.0,1440.0,0.1,0.057,325
Ir,Gd,,50.0,50.0,0.0,100.0,0.0,900.0,1440.0,0.1,0.057,354
Ir,Tb,,50.0,50.0,0.0,100.0,0.0,900.0,1440.0,0.1,0.057,387
Ir,Ho,,50.0,50.0,0.0,100.0,0.0,900.0,1440.0,0.1,0.057,409
Ir,,,100.0,0.0,0.0,25.0,480.0,450.0,120.0,1.0,0.816,334
Ir,Mo,,50.0,50.0,0.0,25.0,480.0,400.0,120.0,1.0,0.816,284
Ir,Mo,,50.0,50.0,0.0,25.0,480.0,450.0,120.0,1.0,0.816,267
Ir,Mo,,50.0,50.0,0.0,25.0,480.0,500.0,120.0,1.0,0.816,321
Ir,Mo,,66.66666667,33.33333333,0.0,25.0,480.0,450.0,120.0,1.0,0.816,432
Ir,Mo,,33.33333333,66.66666667,0.0,25.0,480.0,450.0,120.0,1.0,0.816,440
Zr,Ru,Co,99.45148038,0.274259811,0.274259811,120.0,1440.0,800.0,180.0,1.0,0.00204,232
Zr,Co,Ru,99.17947095,0.547019368,0.273509684,120.0,1440.0,800.0,180.0,1.0,0.00204,249
Zr,Ru,Co,99.58804537,0.27463642,0.13731821,120.0,1440.0,800.0,180.0,1.0,0.00204,241
Zr,Ru,Co,99.45148038,0.274259811,0.274259811,120.0,1440.0,700.0,180.0,1.0,0.00204,257
Zr,Ru,Co,99.45148038,0.274259811,0.274259811,120.0,1440.0,900.0,180.0,1.0,0.00204,244
Ru,,,100.0,0.0,0.0,180.0,1080.0,400.0,60.0,1.0,0.101910828,260
Ru,,,100.0,0.0,0.0,25.0,60.0,500.0,60.0,1.0,0.101910828,280
Ru,,,100.0,0.0,0.0,120.0,480.0,350.0,720.0,1.0,0.138857142,260
Pd,Ru,,50.0,50.0,0.0,200.0,720.0,400.0,240.0,0.1,0.04076,225
