Ca_molar_fraction,Mn_molar_fraction,Co_molar_fraction,Ni_molar_fraction,Sn_molar_fraction,Sb_molar_fraction,overpotential_V
0.1,0.2,0.0,0.0,0.6,0.1,0.454321
0.0,0.3,0.0,0.2,0.5,0.0,0.454306
0.2,0.0,0.1,0.0,0.4,0.3,0.4527319999999999
0.1,0.0,0.4,0.1,0.4,0.0,0.460305
0.2,0.1,0.2,0.0,0.0,0.5,0.556269
0.0,0.1,0.1,0.6,0.0,0.2,0.461232
0.4,0.0,0.3,0.1,0.2,0.0,0.455355
0.0,0.0,0.7,0.1,0.1,0.1,0.485155
0.2,0.1,0.0,0.1,0.0,0.6,0.5022439999999999
0.4,0.0,0.3,0.0,0.2,0.1,0.470321
0.0,0.6,0.0,0.3,0.0,0.1,0.55232
0.3,0.4,0.0,0.0,0.1,0.2,0.555584
0.1,0.3,0.4,0.0,0.2,0.0,0.483977
0.1,0.1,0.0,0.5,0.0,0.3,0.4803
0.0,0.0,0.1,0.7,0.2,0.0,0.439633
0.1,0.6,0.0,0.0,0.2,0.1,0.4813199999999999
0.0,0.3,0.1,0.2,0.4,0.0,0.446313
0.2,0.0,0.6,0.0,0.1,0.1,0.48731
0.4,0.2,0.0,0.0,0.2,0.2,0.506817
0.4,0.2,0.0,0.2,0.2,0.0,0.49249
0.2,0.8,0.0,0.0,0.0,0.0,0.576955
0.2,0.0,0.2,0.6,0.0,0.0,0.4298369999999999
0.0,0.2,0.2,0.2,0.0,0.4,0.517252
0.0,0.0,0.2,0.2,0.4,0.2,0.47572
0.0,0.0,0.0,0.2,0.8,0.0,0.450162
0.2,0.6,0.0,0.0,0.2,0.0,0.491521
0.0,0.0,0.0,0.2,0.6,0.2,0.456527
0.0,0.2,0.2,0.0,0.6,0.0,0.4681369999999999
1.0,0.0,0.0,0.0,0.0,0.0,0.512696
0.2,0.2,0.0,0.0,0.4,0.2,0.477539
0.0,0.0,0.4,0.2,0.2,0.2,0.4790109999999999
0.0,0.6,0.0,0.2,0.2,0.0,0.5052369999999999
0.0,0.2,0.0,0.6,0.2,0.0,0.436851
0.2,0.0,0.0,0.8,0.0,0.0,0.449692
0.2,0.4,0.0,0.0,0.2,0.2,0.503037
0.0,0.0,0.2,0.6,0.0,0.2,0.474233
0.4,0.2,0.2,0.2,0.0,0.0,0.5064420000000001
0.2,0.4,0.0,0.2,0.2,0.0,0.507421
0.8,0.0,0.0,0.2,0.0,0.0,0.545041
0.0,0.0,0.8,0.0,0.2,0.0,0.482943
0.0,0.2,0.4,0.0,0.2,0.2,0.493927
0.0,0.2,0.2,0.6,0.0,0.0,0.446378
0.0,0.2,0.0,0.8,0.0,0.0,0.453798
0.0,0.2,0.0,0.0,0.6,0.2,0.485335
0.0,0.0,0.0,0.5,0.1,0.4,0.443996
0.3,0.1,0.6,0.0,0.0,0.0,0.5353359999999999
0.1,0.1,0.4,0.4,0.0,0.0,0.461628
0.4,0.1,0.0,0.0,0.5,0.0,0.4426989999999999
0.0,0.0,0.1,0.5,0.3,0.1,0.429814
0.1,0.0,0.0,0.7,0.0,0.2,0.436403
0.2,0.4,0.1,0.3,0.0,0.0,0.534826
0.0,0.1,0.1,0.6,0.2,0.0,0.417674
0.3,0.3,0.0,0.0,0.3,0.1,0.47239
0.0,0.4,0.0,0.1,0.1,0.4,0.523058
0.2,0.2,0.0,0.0,0.1,0.5,0.516613
0.4,0.4,0.0,0.0,0.1,0.1,0.551265
0.0,0.3,0.0,0.0,0.0,0.7,0.656165
0.2,0.0,0.1,0.0,0.1,0.6,0.461714
0.3,0.3,0.0,0.0,0.4,0.0,0.466842
0.0,0.2,0.3,0.4,0.0,0.1,0.483749
0.1,0.4,0.0,0.2,0.3,0.0,0.4700979999999999
0.5,0.0,0.0,0.4,0.0,0.1,0.509296
0.1,0.0,0.0,0.4,0.1,0.4,0.424216
0.1,0.3,0.0,0.0,0.5,0.1,0.466211
0.6,0.1,0.0,0.2,0.1,0.0,0.479327
0.0,0.3,0.0,0.6,0.0,0.1,0.455426
0.4,0.1,0.0,0.4,0.0,0.1,0.493222
0.6,0.0,0.0,0.3,0.1,0.0,0.48388
0.3,0.5,0.0,0.1,0.0,0.1,0.514104
0.4,0.2,0.0,0.0,0.4,0.0,0.4600649999999999
0.5,0.1,0.0,0.1,0.3,0.0,0.453752
0.1,0.1,0.5,0.0,0.3,0.0,0.467789
0.0,0.2,0.0,0.6,0.1,0.1,0.440536
0.1,0.2,0.0,0.0,0.7,0.0,0.467811
0.5,0.2,0.1,0.2,0.0,0.0,0.5342319999999999
0.1,0.0,0.6,0.0,0.1,0.2,0.489513
0.2,0.1,0.1,0.6,0.0,0.0,0.453615
0.0,0.7,0.0,0.1,0.1,0.1,0.5119560000000001
0.0,0.0,0.1,0.2,0.4,0.3,0.4584899999999999
0.1,0.1,0.0,0.0,0.2,0.6,0.460134
0.3,0.1,0.0,0.0,0.4,0.2,0.449731
0.8,0.0,0.0,0.0,0.2,0.0,0.477792
0.2,0.4,0.2,0.0,0.0,0.2,0.510041
0.4,0.2,0.2,0.0,0.2,0.0,0.4849819999999999
0.0,0.0,0.0,0.2,0.0,0.8,0.468601
0.4,0.0,0.2,0.2,0.0,0.2,0.534403
0.2,0.2,0.2,0.0,0.0,0.4,0.542379
0.0,0.2,0.2,0.0,0.2,0.4,0.494222
0.2,0.0,0.2,0.2,0.0,0.4,0.541139
0.6,0.2,0.0,0.0,0.0,0.2,0.5561119999999999
0.6,0.2,0.0,0.2,0.0,0.0,0.5214840000000001
0.0,0.0,0.2,0.4,0.2,0.2,0.466981
0.0,0.0,0.6,0.2,0.2,0.0,0.473581
0.0,0.2,0.2,0.0,0.0,0.6,0.5415760000000001
0.2,0.2,0.0,0.6,0.0,0.0,0.498059
0.0,0.2,0.0,0.2,0.0,0.6,0.571172
0.2,0.6,0.0,0.2,0.0,0.0,0.500909
0.8,0.0,0.2,0.0,0.0,0.0,0.493357
0.4,0.0,0.0,0.2,0.2,0.2,0.425302
0.2,0.0,0.0,0.0,0.6,0.2,0.434532
0.4,0.0,0.2,0.2,0.2,0.0,0.422354
0.0,0.0,0.0,0.8,0.0,0.2,0.44792
0.0,0.0,0.2,0.8,0.0,0.0,0.4560479999999999
0.0,0.2,0.2,0.2,0.4,0.0,0.449438
0.2,0.2,0.4,0.0,0.2,0.0,0.4476699999999999
0.2,0.0,0.0,0.2,0.4,0.2,0.4048219999999999
0.4,0.0,0.2,0.0,0.2,0.2,0.457414
0.1,0.4,0.0,0.0,0.0,0.5,0.505004
0.2,0.7,0.1,0.0,0.0,0.0,0.588403
0.0,0.4,0.0,0.0,0.1,0.5,0.50326
0.0,0.0,0.4,0.4,0.1,0.1,0.470739
0.0,0.3,0.0,0.2,0.4,0.1,0.45491
0.4,0.0,0.0,0.3,0.1,0.2,0.438151
0.3,0.0,0.3,0.2,0.2,0.0,0.431746
0.0,0.0,0.4,0.0,0.5,0.1,0.4673029999999999
0.6,0.3,0.0,0.0,0.0,0.1,0.533817
0.4,0.0,0.0,0.6,0.0,0.0,0.472479
0.0,0.3,0.4,0.2,0.1,0.0,0.470977
0.0,0.1,0.7,0.0,0.0,0.2,0.5412680000000001
0.0,0.1,0.1,0.1,0.0,0.7,0.552145
0.5,0.1,0.1,0.3,0.0,0.0,0.490778
0.0,0.2,0.3,0.5,0.0,0.0,0.448887
0.5,0.2,0.3,0.0,0.0,0.0,0.498116
0.4,0.1,0.0,0.0,0.3,0.2,0.436788
0.1,0.2,0.2,0.5,0.0,0.0,0.468876
0.5,0.1,0.1,0.0,0.0,0.3,0.531017
0.4,0.0,0.0,0.0,0.6,0.0,0.432906
0.1,0.0,0.0,0.4,0.3,0.2,0.397848
0.2,0.0,0.0,0.3,0.0,0.5,0.41139
0.3,0.1,0.2,0.0,0.0,0.4,0.517985
0.6,0.1,0.1,0.0,0.2,0.0,0.476009
0.4,0.1,0.2,0.0,0.3,0.0,0.4561989999999999
0.5,0.0,0.1,0.3,0.0,0.1,0.483864
0.3,0.1,0.4,0.0,0.0,0.2,0.515764
0.1,0.0,0.4,0.0,0.2,0.3,0.486971
0.1,0.5,0.3,0.1,0.0,0.0,0.480199
0.0,0.1,0.0,0.5,0.2,0.2,0.429509
0.2,0.0,0.5,0.2,0.1,0.0,0.463384
0.1,0.0,0.5,0.0,0.3,0.1,0.471526
0.5,0.0,0.0,0.0,0.4,0.1,0.444192
0.0,0.6,0.3,0.0,0.0,0.1,0.540816
0.0,0.4,0.5,0.0,0.1,0.0,0.496604
0.0,0.5,0.1,0.4,0.0,0.0,0.479072
0.2,0.0,0.0,0.4,0.0,0.4,0.440171
0.0,0.0,0.8,0.2,0.0,0.0,0.46161
0.0,0.0,0.2,0.0,0.8,0.0,0.460906
0.2,0.0,0.0,0.0,0.8,0.0,0.445774
0.2,0.0,0.2,0.2,0.4,0.0,0.4227479999999999
0.0,0.6,0.0,0.0,0.2,0.2,0.491079
0.8,0.0,0.0,0.0,0.0,0.2,0.51722
0.0,0.4,0.0,0.2,0.2,0.2,0.494727
0.2,0.0,0.0,0.0,0.0,0.8,0.545829
0.0,0.4,0.2,0.0,0.2,0.2,0.498167
0.0,0.2,0.0,0.6,0.0,0.2,0.4858479999999999
0.0,0.0,0.6,0.2,0.0,0.2,0.479691
0.2,0.2,0.2,0.4,0.0,0.0,0.482055
0.2,0.2,0.0,0.0,0.2,0.4,0.497774
0.0,0.2,0.0,0.2,0.2,0.4,0.490688
0.8,0.2,0.0,0.0,0.0,0.0,0.5443520000000001
0.2,0.0,0.6,0.0,0.2,0.0,0.46889
0.0,0.2,0.0,0.0,0.8,0.0,0.483072
0.2,0.4,0.2,0.0,0.2,0.0,0.482052
0.2,0.4,0.2,0.2,0.0,0.0,0.5404720000000001
0.6,0.0,0.2,0.0,0.0,0.2,0.5052439999999999
0.2,0.0,0.2,0.0,0.0,0.6,0.496011
0.0,0.0,0.2,0.0,0.2,0.6,0.460456
0.4,0.2,0.0,0.2,0.0,0.2,0.508366
0.2,0.2,0.0,0.2,0.0,0.4,0.50921
0.2,0.2,0.0,0.4,0.2,0.0,0.429666
0.0,0.0,0.0,1.0,0.0,0.0,0.46525
0.5,0.3,0.1,0.1,0.0,0.0,0.541376
0.3,0.2,0.0,0.0,0.2,0.3,0.49256
0.0,0.0,0.5,0.4,0.0,0.1,0.50272
0.6,0.0,0.0,0.1,0.0,0.3,0.51155
0.0,0.1,0.0,0.7,0.0,0.2,0.46168
0.0,0.0,0.7,0.2,0.0,0.1,0.48266
0.1,0.4,0.0,0.3,0.0,0.2,0.549325
0.4,0.4,0.2,0.0,0.0,0.0,0.539929
0.0,0.2,0.0,0.5,0.1,0.2,0.466593
0.3,0.4,0.0,0.0,0.2,0.1,0.48084
0.0,0.0,0.1,0.4,0.0,0.5,0.481674
0.4,0.4,0.0,0.0,0.2,0.0,0.5079020000000001
0.4,0.0,0.5,0.0,0.0,0.1,0.509675
0.2,0.0,0.3,0.0,0.3,0.2,0.4685859999999999
0.1,0.0,0.5,0.3,0.1,0.0,0.429699
0.0,0.1,0.1,0.3,0.0,0.5,0.501816
0.1,0.0,0.3,0.0,0.5,0.1,0.458345
0.2,0.0,0.3,0.3,0.2,0.0,0.4041679999999999
0.5,0.1,0.3,0.0,0.0,0.1,0.584741
0.6,0.0,0.3,0.1,0.0,0.0,0.504991
0.0,0.0,0.0,0.0,0.3,0.7,0.4313229999999999
0.1,0.0,0.0,0.5,0.4,0.0,0.411855
0.0,0.0,0.6,0.1,0.2,0.1,0.459725
0.2,0.0,0.2,0.5,0.0,0.1,0.431435
0.1,0.1,0.0,0.0,0.5,0.3,0.474527
0.1,0.0,0.0,0.2,0.1,0.6,0.434651
0.0,0.1,0.4,0.1,0.4,0.0,0.4610359999999999
0.1,0.1,0.0,0.2,0.6,0.0,0.422414
0.3,0.0,0.0,0.1,0.4,0.2,0.417492
0.1,0.3,0.4,0.0,0.0,0.2,0.5164
0.0,0.0,0.9,0.0,0.0,0.1,0.455418
0.1,0.1,0.0,0.0,0.6,0.2,0.477674
0.0,0.3,0.3,0.3,0.0,0.1,0.500775
0.0,0.4,0.3,0.1,0.2,0.0,0.475977
0.0,0.3,0.0,0.0,0.2,0.5,0.489164
0.2,0.0,0.1,0.0,0.3,0.4,0.466242
0.0,0.2,0.1,0.3,0.0,0.4,0.487403
0.0,0.0,0.0,0.0,1.0,0.0,0.44122
0.6,0.0,0.0,0.2,0.2,0.0,0.4437979999999999
0.0,0.0,0.0,0.0,0.0,1.0,0.483108
0.2,0.2,0.2,0.0,0.4,0.0,0.432795
0.0,0.0,0.2,0.6,0.2,0.0,0.4264699999999999
0.6,0.0,0.2,0.0,0.2,0.0,0.4702479999999999
0.0,0.8,0.2,0.0,0.0,0.0,0.550864
0.2,0.4,0.0,0.2,0.0,0.2,0.590234
0.0,0.6,0.2,0.0,0.0,0.2,0.589329
0.0,0.8,0.0,0.0,0.2,0.0,0.518015
0.0,0.0,0.2,0.2,0.2,0.4,0.456837
0.2,0.0,0.0,0.6,0.0,0.2,0.438775
0.2,0.0,0.6,0.2,0.0,0.0,0.473674
0.0,0.2,0.4,0.2,0.2,0.0,0.463988
0.2,0.2,0.4,0.2,0.0,0.0,0.487859
0.0,0.0,0.0,0.6,0.2,0.2,0.414311
0.6,0.2,0.2,0.0,0.0,0.0,0.505872
0.2,0.0,0.2,0.0,0.6,0.0,0.451341
0.0,0.6,0.2,0.2,0.0,0.0,0.4949189999999999
0.0,0.0,0.2,0.2,0.6,0.0,0.441314
0.0,0.4,0.2,0.2,0.2,0.0,0.442608
0.0,0.2,0.0,0.0,0.2,0.6,0.487631
0.2,0.2,0.0,0.4,0.0,0.2,0.517054
0.0,0.2,0.6,0.2,0.0,0.0,0.4793159999999999
0.2,0.0,0.0,0.6,0.2,0.0,0.401201
0.0,0.0,1.0,0.0,0.0,0.0,0.449756
0.0,0.0,0.1,0.1,0.1,0.7,0.4568899999999999
0.1,0.0,0.0,0.0,0.9,0.0,0.449656
0.2,0.3,0.0,0.4,0.1,0.0,0.482811
0.0,0.2,0.4,0.3,0.0,0.1,0.504466
0.0,0.6,0.2,0.1,0.1,0.0,0.5081979999999999
0.7,0.1,0.0,0.2,0.0,0.0,0.545474
0.3,0.3,0.0,0.2,0.0,0.2,0.510441
0.5,0.0,0.0,0.3,0.2,0.0,0.435117
0.4,0.1,0.4,0.0,0.1,0.0,0.480339
0.0,0.0,0.5,0.1,0.2,0.2,0.46895
0.2,0.1,0.4,0.0,0.3,0.0,0.447495
0.0,0.0,0.3,0.6,0.0,0.1,0.453842
0.2,0.3,0.2,0.0,0.3,0.0,0.455885
0.1,0.2,0.5,0.0,0.0,0.2,0.5441
0.3,0.0,0.4,0.0,0.0,0.3,0.513406
0.0,0.0,0.1,0.2,0.5,0.2,0.4457359999999999
0.3,0.2,0.0,0.0,0.5,0.0,0.442513
0.4,0.0,0.5,0.0,0.1,0.0,0.45677
0.0,0.0,0.0,0.7,0.2,0.1,0.407815
0.8,0.1,0.1,0.0,0.0,0.0,0.542848
0.0,0.1,0.8,0.0,0.1,0.0,0.4709529999999999
0.2,0.0,0.1,0.4,0.0,0.3,0.449292
0.4,0.4,0.0,0.0,0.0,0.2,0.513072
0.0,0.1,0.0,0.6,0.1,0.2,0.429422
0.0,0.5,0.1,0.0,0.0,0.4,0.501744
0.1,0.0,0.0,0.3,0.0,0.6,0.455794
0.1,0.5,0.2,0.2,0.0,0.0,0.508156
0.1,0.0,0.2,0.6,0.0,0.1,0.4315
0.0,0.1,0.1,0.0,0.2,0.6,0.469895
0.1,0.5,0.0,0.2,0.0,0.2,0.529482
0.1,0.0,0.1,0.0,0.3,0.5,0.456
0.0,0.2,0.7,0.1,0.0,0.0,0.50938
0.7,0.0,0.3,0.0,0.0,0.0,0.547974
0.2,0.4,0.0,0.1,0.0,0.3,0.55601
0.7,0.0,0.0,0.1,0.0,0.2,0.5180100000000001
0.1,0.6,0.1,0.0,0.2,0.0,0.47305
0.2,0.0,0.0,0.5,0.0,0.3,0.4383829999999999
0.0,0.0,0.6,0.0,0.2,0.2,0.4515619999999999
0.0,0.2,0.0,0.4,0.2,0.2,0.425308
0.0,0.0,0.0,0.8,0.2,0.0,0.427056
0.0,0.2,0.2,0.4,0.2,0.0,0.406477
0.2,0.0,0.0,0.2,0.2,0.4,0.428345
0.2,0.0,0.2,0.0,0.4,0.2,0.464697
0.2,0.0,0.2,0.4,0.0,0.2,0.466091
0.0,0.2,0.2,0.4,0.0,0.2,0.498503
0.0,0.8,0.0,0.2,0.0,0.0,0.58006
0.2,0.2,0.0,0.0,0.0,0.6,0.589063
0.2,0.0,0.0,0.4,0.2,0.2,0.404698
0.0,0.0,0.2,0.2,0.0,0.6,0.4497239999999999
0.6,0.2,0.0,0.0,0.2,0.0,0.471458
0.0,0.0,0.0,0.0,0.2,0.8,0.458794
0.2,0.6,0.2,0.0,0.0,0.0,0.509903
0.2,0.2,0.6,0.0,0.0,0.0,0.522104
0.0,0.0,0.8,0.0,0.0,0.2,0.486104
0.0,0.2,0.6,0.0,0.0,0.2,0.490221
0.0,0.0,0.0,0.2,0.2,0.6,0.444916
0.0,0.2,0.8,0.0,0.0,0.0,0.470618
0.0,0.0,0.2,0.0,0.6,0.2,0.456754
0.0,1.0,0.0,0.0,0.0,0.0,0.5205770000000001
0.2,0.0,0.2,0.0,0.2,0.4,0.488125
0.0,0.2,0.0,0.0,0.0,0.8,0.521667
0.2,0.0,0.0,0.2,0.0,0.6,0.479952
0.2,0.2,0.0,0.2,0.4,0.0,0.417902
0.0,0.3,0.2,0.2,0.0,0.3,0.487858
0.5,0.0,0.3,0.0,0.1,0.1,0.479728
0.1,0.4,0.0,0.1,0.4,0.0,0.460547
0.1,0.1,0.3,0.0,0.0,0.5,0.5039819999999999
0.2,0.0,0.3,0.2,0.3,0.0,0.432772
0.0,0.1,0.0,0.2,0.7,0.0,0.442338
0.3,0.0,0.5,0.0,0.1,0.1,0.493857
0.3,0.0,0.1,0.0,0.1,0.5,0.468414
0.2,0.0,0.7,0.0,0.1,0.0,0.490537
0.1,0.0,0.7,0.1,0.1,0.0,0.4661189999999999
0.0,0.1,0.1,0.0,0.8,0.0,0.458025
0.0,0.0,0.4,0.2,0.1,0.3,0.46903
0.0,0.0,0.0,0.4,0.3,0.3,0.433792
0.0,0.0,0.2,0.4,0.0,0.4,0.47535
0.8,0.0,0.1,0.0,0.0,0.1,0.556048
0.7,0.2,0.0,0.1,0.0,0.0,0.513606
0.3,0.0,0.1,0.6,0.0,0.0,0.436616
0.0,0.1,0.2,0.0,0.6,0.1,0.465229
0.2,0.1,0.0,0.0,0.2,0.5,0.445062
0.0,0.4,0.1,0.5,0.0,0.0,0.474885
0.3,0.2,0.1,0.0,0.4,0.0,0.458831
0.5,0.2,0.0,0.0,0.0,0.3,0.655528
0.4,0.4,0.0,0.2,0.0,0.0,0.605915
0.0,0.4,0.3,0.0,0.0,0.3,0.489469
0.5,0.0,0.1,0.1,0.3,0.0,0.422145
0.4,0.1,0.4,0.0,0.0,0.1,0.493623
0.2,0.0,0.3,0.4,0.0,0.1,0.4291979999999999
0.0,0.0,0.7,0.1,0.0,0.2,0.467941
0.1,0.0,0.1,0.7,0.0,0.1,0.4386279999999999
0.4,0.5,0.0,0.0,0.1,0.0,0.504225
0.0,0.0,0.0,0.1,0.8,0.1,0.454251
0.0,0.5,0.0,0.2,0.2,0.1,0.469632
0.0,0.1,0.0,0.6,0.2,0.1,0.40492
0.2,0.0,0.2,0.5,0.1,0.0,0.40236
0.0,0.2,0.1,0.2,0.0,0.5,0.515267
0.0,0.1,0.0,0.5,0.0,0.4,0.489106
0.0,0.2,0.0,0.1,0.3,0.4,0.460111
0.2,0.0,0.2,0.4,0.2,0.0,0.394764
0.0,0.4,0.2,0.2,0.0,0.2,0.480642
0.2,0.0,0.0,0.2,0.6,0.0,0.414664
0.0,0.2,0.0,0.2,0.6,0.0,0.437142
0.0,0.0,0.0,0.0,0.8,0.2,0.455611
0.2,0.2,0.4,0.0,0.0,0.2,0.507989
0.0,0.2,0.6,0.0,0.2,0.0,0.477139
0.2,0.0,0.4,0.0,0.2,0.2,0.484966
0.2,0.2,0.0,0.0,0.6,0.0,0.46285
0.0,0.8,0.0,0.0,0.0,0.2,0.577136
0.2,0.0,0.8,0.0,0.0,0.0,0.477639
0.0,0.2,0.2,0.0,0.4,0.2,0.485045
0.2,0.6,0.0,0.0,0.0,0.2,0.532469
0.0,0.2,0.4,0.2,0.0,0.2,0.4720439999999999
0.6,0.0,0.0,0.0,0.2,0.2,0.4665859999999999
0.4,0.2,0.2,0.0,0.0,0.2,0.5233979999999999
0.6,0.0,0.0,0.2,0.0,0.2,0.48962
0.2,0.0,0.0,0.0,0.2,0.6,0.458578
0.0,0.0,0.2,0.0,0.0,0.8,0.5092949999999999
0.6,0.0,0.2,0.2,0.0,0.0,0.483362
0.0,0.2,0.0,0.2,0.4,0.2,0.4472279999999999
0.0,0.6,0.0,0.2,0.0,0.2,0.521591
0.0,0.6,0.2,0.0,0.2,0.0,0.4794029999999999
0.2,0.0,0.4,0.2,0.2,0.0,0.460088
0.2,0.0,0.4,0.2,0.0,0.2,0.50759
0.2,0.0,0.6,0.0,0.0,0.2,0.482562
0.5,0.0,0.0,0.2,0.2,0.1,0.435802
0.0,0.1,0.3,0.0,0.6,0.0,0.4586439999999999
0.0,0.0,0.0,0.8,0.1,0.1,0.409326
0.1,0.0,0.6,0.0,0.2,0.1,0.47975
0.0,0.0,0.6,0.3,0.0,0.1,0.469158
0.3,0.0,0.2,0.4,0.0,0.1,0.437087
0.1,0.0,0.3,0.0,0.2,0.4,0.487145
0.1,0.4,0.3,0.2,0.0,0.0,0.5426989999999999
0.3,0.0,0.5,0.0,0.0,0.2,0.552431
0.1,0.0,0.7,0.0,0.0,0.2,0.542076
0.0,0.1,0.2,0.2,0.0,0.5,0.5136149999999999
0.2,0.1,0.3,0.0,0.0,0.4,0.5567529999999999
0.2,0.3,0.0,0.0,0.1,0.4,0.472242
0.3,0.0,0.0,0.5,0.2,0.0,0.402602
0.0,0.2,0.0,0.3,0.2,0.3,0.4632409999999999
0.0,0.2,0.0,0.1,0.7,0.0,0.437032
0.0,0.0,0.1,0.2,0.1,0.6,0.44653
0.3,0.6,0.0,0.1,0.0,0.0,0.5428069999999999
0.0,0.3,0.3,0.1,0.0,0.3,0.5338579999999999
0.4,0.0,0.0,0.3,0.3,0.0,0.421417
0.4,0.5,0.0,0.0,0.0,0.1,0.621082
0.8,0.1,0.0,0.1,0.0,0.0,0.555726
0.5,0.1,0.0,0.3,0.1,0.0,0.485846
0.2,0.0,0.3,0.0,0.1,0.4,0.503053
0.5,0.1,0.0,0.0,0.1,0.3,0.471985
0.3,0.3,0.0,0.1,0.3,0.0,0.4523899999999999
0.0,0.0,0.0,0.3,0.6,0.1,0.420927
0.2,0.0,0.2,0.3,0.3,0.0,0.407269
0.3,0.6,0.0,0.0,0.1,0.0,0.4966489999999999
0.0,0.5,0.0,0.4,0.1,0.0,0.513596
0.1,0.3,0.0,0.0,0.2,0.4,0.495274
0.5,0.2,0.0,0.0,0.2,0.1,0.4873119999999999
0.0,0.0,0.0,0.3,0.2,0.5,0.4402779999999999
0.7,0.3,0.0,0.0,0.0,0.0,0.486455
0.1,0.5,0.0,0.1,0.3,0.0,0.475406
0.2,0.7,0.0,0.1,0.0,0.0,0.517897
0.7,0.0,0.0,0.3,0.0,0.0,0.503641
0.0,0.0,0.1,0.3,0.6,0.0,0.428824
0.0,0.6,0.0,0.0,0.0,0.4,0.527413
0.0,0.3,0.0,0.6,0.1,0.0,0.448107
0.1,0.0,0.3,0.0,0.1,0.5,0.478438
0.0,0.2,0.1,0.0,0.3,0.4,0.4844859999999999
0.1,0.0,0.1,0.0,0.7,0.1,0.464095
0.2,0.6,0.0,0.1,0.1,0.0,0.48548
0.0,0.4,0.3,0.0,0.3,0.0,0.467991
0.2,0.0,0.0,0.7,0.0,0.1,0.438259
0.3,0.0,0.3,0.0,0.0,0.4,0.532611
0.0,0.1,0.0,0.2,0.4,0.3,0.468734
0.0,0.2,0.0,0.0,0.1,0.7,0.501292
0.4,0.0,0.2,0.1,0.0,0.3,0.53213
0.0,0.0,0.0,0.5,0.3,0.2,0.422967
0.1,0.1,0.0,0.3,0.0,0.5,0.468113
0.0,0.1,0.6,0.2,0.1,0.0,0.4792
0.1,0.1,0.0,0.2,0.0,0.6,0.508995
0.3,0.3,0.0,0.0,0.1,0.3,0.510626
0.1,0.0,0.2,0.4,0.0,0.3,0.4830899999999999
0.0,0.4,0.1,0.0,0.3,0.2,0.478583
0.0,0.4,0.1,0.2,0.0,0.3,0.490234
0.2,0.1,0.6,0.0,0.0,0.1,0.5272560000000001
0.1,0.0,0.6,0.2,0.1,0.0,0.482921
0.0,0.5,0.0,0.0,0.3,0.2,0.46857
0.5,0.0,0.0,0.1,0.4,0.0,0.42858
0.3,0.0,0.0,0.2,0.4,0.1,0.39775
0.0,0.0,0.2,0.7,0.1,0.0,0.418159
0.0,0.4,0.1,0.0,0.4,0.1,0.4642779999999999
